id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,tick pressure,126,24,38,66,290,ship,baseline,monotonic-signal,raise-signal
m002,g002,book depth,80,45,45,95,255,ship,edge,drag-penalty,drop-slack
m003,g003,view drift,109,39,15,41,307,ship,recovery,confidence-floor,raise-drag
m004,g004,render cost,83,33,12,35,243,ship,negative,lane-boundary,lower-confidence
m005,g005,tick pressure,39,68,15,99,283,ship,baseline,monotonic-signal,raise-signal
m006,g006,book depth,95,7,39,43,169,watch,edge,drag-penalty,drop-slack
m007,g007,view drift,43,30,39,20,88,hold,recovery,confidence-floor,raise-drag
m008,g008,render cost,64,39,9,86,274,ship,negative,lane-boundary,lower-confidence
m009,g009,tick pressure,43,46,41,57,153,watch,baseline,monotonic-signal,raise-signal
m010,g010,book depth,111,41,16,40,312,ship,edge,drag-penalty,drop-slack
m011,g011,view drift,109,57,33,36,302,ship,recovery,confidence-floor,raise-drag
m012,g012,render cost,67,27,12,26,190,watch,negative,lane-boundary,lower-confidence
m013,g013,tick pressure,103,50,41,45,269,ship,baseline,monotonic-signal,raise-signal
m014,g014,book depth,111,18,22,95,309,ship,edge,drag-penalty,drop-slack
m015,g015,view drift,35,21,42,82,110,watch,recovery,confidence-floor,raise-drag
m016,g016,render cost,88,54,43,24,222,ship,negative,lane-boundary,lower-confidence
m017,g017,tick pressure,39,38,28,105,203,ship,baseline,monotonic-signal,raise-signal
m018,g018,book depth,49,57,43,100,226,ship,edge,drag-penalty,drop-slack
m019,g019,view drift,106,50,38,102,338,ship,recovery,confidence-floor,raise-drag
m020,g020,render cost,94,9,26,52,206,ship,negative,lane-boundary,lower-confidence
m021,g021,tick pressure,56,61,4,94,320,ship,baseline,monotonic-signal,raise-signal
m022,g022,book depth,115,43,37,40,282,ship,edge,drag-penalty,drop-slack
m023,g023,view drift,65,18,20,47,173,watch,recovery,confidence-floor,raise-drag
m024,g024,render cost,43,38,23,85,201,ship,negative,lane-boundary,lower-confidence
m025,g025,tick pressure,45,17,30,42,106,hold,baseline,monotonic-signal,raise-signal
m026,g026,book depth,80,31,35,105,257,ship,edge,drag-penalty,drop-slack
m027,g027,view drift,105,57,46,98,330,ship,recovery,confidence-floor,raise-drag
m028,g028,render cost,77,67,42,43,247,ship,negative,lane-boundary,lower-confidence
m029,g029,tick pressure,120,40,24,39,311,ship,baseline,monotonic-signal,raise-signal
m030,g030,book depth,87,18,17,35,211,ship,edge,drag-penalty,drop-slack
m031,g031,view drift,79,61,43,38,232,ship,recovery,confidence-floor,raise-drag
m032,g032,render cost,70,44,26,31,207,ship,negative,lane-boundary,lower-confidence
m033,g033,tick pressure,42,38,43,94,168,watch,baseline,monotonic-signal,raise-signal
m034,g034,book depth,62,62,11,81,307,ship,edge,drag-penalty,drop-slack
m035,g035,view drift,36,23,46,36,62,hold,recovery,confidence-floor,raise-drag
m036,g036,render cost,71,35,26,91,251,ship,negative,lane-boundary,lower-confidence
m037,g037,tick pressure,57,44,7,99,287,ship,baseline,monotonic-signal,raise-signal
m038,g038,book depth,84,40,20,101,309,ship,edge,drag-penalty,drop-slack
m039,g039,view drift,105,57,35,64,318,ship,recovery,confidence-floor,raise-drag
m040,g040,render cost,75,62,13,80,328,ship,negative,lane-boundary,lower-confidence
m041,g041,tick pressure,73,32,28,39,193,ship,baseline,monotonic-signal,raise-signal
m042,g042,book depth,62,44,16,46,226,ship,edge,drag-penalty,drop-slack
m043,g043,view drift,108,34,18,97,345,ship,recovery,confidence-floor,raise-drag
m044,g044,render cost,47,26,31,28,112,watch,negative,lane-boundary,lower-confidence
m045,g045,tick pressure,73,59,22,104,324,ship,baseline,monotonic-signal,raise-signal
m046,g046,book depth,76,32,40,97,233,ship,edge,drag-penalty,drop-slack
m047,g047,view drift,41,73,15,55,253,ship,recovery,confidence-floor,raise-drag
m048,g048,render cost,71,55,15,25,247,ship,negative,lane-boundary,lower-confidence
